Timestamp;1.1 GLT_ZUL-Temp. vor VE Celsius;1.2 GLT_ZUL-Volumenstrom m3/h;1.3 GLT_VE-Ventil Rueckmeldung %;1.4 GLT_VE Ruecklauf-Temp. Celsius;1.5 GLT_ZUL-Temp. n. VE  Celsius;2.1 ENMS_VE_Leistung kW;2.2 ENMS_VE-Volumenstrom m3/h;2.3 ENMS_VE Vorlauf-Temp. Celsius;2.4 ENMS_VE Ruecklauf-Temp. Celsius
1.1.2023 0:00;19,82;0,00;1,00;20,70;19,87;0,00;0,00;20,52;20,40
1.1.2023 0:15;19,82;0,00;0,00;20,70;19,87;0,00;0,00;20,52;20,40
1.1.2023 0:30;19,82;0,00;0,00;20,70;19,87;0,00;0,00;20,52;20,40
1.1.2023 0:45;19,82;0,00;0,00;20,70;19,87;0,00;0,00;20,53;20,40
1.1.2023 1:00;19,82;0,00;0,00;20,70;19,87;0,00;0,00;20,52;20,40
1.1.2023 1:15;19,82;0,00;0,00;20,70;19,87;0,00;0,00;20,52;20,40
1.1.2023 1:30;19,82;0,00;0,00;20,70;19,87;0,00;0,00;20,52;20,41
1.1.2023 1:45;19,82;0,00;1,00;20,70;19,87;0,00;0,00;20,52;20,41
1.1.2023 2:00;19,82;0,00;0,00;20,70;19,87;0,00;0,00;20,52;20,41
1.1.2023 2:15;19,82;0,00;1,00;20,70;19,87;0,00;0,00;20,52;20,41
1.1.2023 2:30;19,82;0,00;0,00;20,70;19,87;0,00;0,00;20,51;20,41
1.1.2023 2:45;19,82;0,00;1,00;20,70;19,87;0,00;0,00;20,51;20,41
1.1.2023 3:00;19,82;0,00;0,00;20,70;19,87;0,00;0,00;20,52;20,40
1.1.2023 3:15;19,82;0,00;0,00;20,70;19,87;0,00;0,00;20,51;20,41
1.1.2023 3:30;19,82;0,00;1,00;20,70;19,87;0,00;0,00;20,51;20,40
1.1.2023 3:45;19,82;0,00;0,00;20,70;19,87;0,00;0,00;20,50;20,40
1.1.2023 4:00;19,82;0,00;0,00;20,70;19,87;0,00;0,00;20,51;20,41
1.1.2023 4:15;19,82;0,00;0,00;20,70;19,87;0,00;0,00;20,52;20,41
1.1.2023 4:30;19,82;0,00;0,00;20,70;19,87;0,00;0,00;20,50;20,40
1.1.2023 4:45;19,82;0,00;0,00;20,70;19,87;0,00;0,00;20,50;20,40
1.1.2023 5:00;19,82;0,00;0,00;20,70;19,87;0,00;0,00;20,50;20,40
1.1.2023 5:15;19,82;0,00;0,00;20,70;19,87;0,00;0,00;20,50;20,40
1.1.2023 5:30;19,82;0,00;0,00;20,70;19,87;0,00;0,00;20,52;20,42
1.1.2023 5:45;19,82;0,00;0,00;20,70;19,87;0,00;0,00;20,50;20,41
1.1.2023 6:00;19,82;0,00;0,00;20,70;19,87;0,00;0,00;20,49;20,40
1.1.2023 6:15;19,82;0,00;1,00;20,70;19,87;0,00;0,00;20,49;20,40
1.1.2023 6:30;19,82;0,00;1,00;20,70;19,87;0,00;0,00;20,47;20,40
1.1.2023 6:45;19,82;0,00;1,00;20,70;19,87;0,00;0,00;20,49;20,40
1.1.2023 7:00;19,82;0,00;0,00;20,70;19,87;0,00;0,00;20,49;20,40
1.1.2023 7:15;19,82;0,00;1,00;20,70;19,87;0,00;0,00;20,48;20,39
1.1.2023 7:30;19,82;0,00;0,00;20,70;19,87;63,00;3,17;54,46;37,62
1.1.2023 7:45;19,82;32288,84;0,00;28,73;20,86;17,30;3,14;31,16;26,62
1.1.2023 8:00;19,82;32254,95;2,00;22,25;20,24;1,60;3,12;20,75;20,27
1.1.2023 8:15;19,82;32143,85;21,00;26,17;22,13;1,60;3,12;20,75;20,27
1.1.2023 8:30;19,82;32253,95;10,00;21,01;20,94;18,60;3,15;31,10;25,99
1.1.2023 8:45;19,82;32046,30;23,00;29,32;23,41;18,60;3,15;31,10;25,99
1.1.2023 9:00;19,82;32084,12;21,00;27,98;23,42;18,60;3,15;31,10;25,99
1.1.2023 9:15;19,82;32136,56;22,00;26,69;22,16;31,10;3,16;40,54;31,94
1.1.2023 9:30;19,82;32178,13;12,00;24,40;22,27;13,70;3,13;28,62;25,02
1.1.2023 9:45;19,82;32138,50;20,00;25,03;21,63;30,20;3,14;37,25;28,63
1.1.2023 10:00;19,82;32143,84;8,00;24,97;22,81;12,00;3,13;27,24;23,88
1.1.2023 10:15;20,12;32270,87;12,00;21,01;20,62;13,00;3,13;26,13;22,53
1.1.2023 10:30;20,12;32105,77;10,00;27,45;23,13;13,00;3,13;26,13;22,53
1.1.2023 10:45;20,12;32220,43;5,00;21,30;20,74;25,30;3,14;33,88;26,58
1.1.2023 11:00;20,12;32003,83;16,00;28,80;23,25;23,40;3,14;34,97;28,50
1.1.2023 11:15;20,12;32207,16;1,00;22,50;21,36;-0,20;3,12;20,97;21,08
1.1.2023 11:30;20,12;32023,51;24,00;30,77;23,90;1,90;3,12;22,08;21,56
1.1.2023 11:45;20,12;32167,53;11,00;23,59;21,34;13,80;3,13;27,16;23,30
1.1.2023 12:00;20,12;32085,64;27,00;30,33;23,87;29,40;3,15;39,60;31,30
1.1.2023 12:15;20,12;32335,69;5,00;22,60;20,77;45,60;3,17;45,06;32,54
1.1.2023 12:30;20,12;32034,20;27,00;34,06;25,82;0,00;0,00;23,23;22,42
1.1.2023 12:45;20,12;32242,27;13,00;22,16;20,99;31,30;3,15;36,20;27,59
1.1.2023 13:00;20,12;31911,09;18,00;32,39;25,41;31,30;3,15;36,20;27,59
1.1.2023 13:15;20,12;32226,08;25,00;25,63;21,60;52,10;3,18;49,56;35,56
1.1.2023 13:30;20,12;31973,90;3,00;27,43;24,16;36,50;3,17;42,94;32,92
1.1.2023 13:45;20,12;32090,45;7,00;27,03;22,85;16,80;3,14;30,94;26,57
1.1.2023 14:00;20,12;31961,71;16,00;30,15;24,10;16,80;3,14;30,94;26,57
1.1.2023 14:15;20,12;32078,47;5,00;23,67;21,06;17,80;3,13;29,10;24,03
1.1.2023 14:30;20,12;32204,35;20,00;25,49;21,70;4,80;3,12;24,42;23,23
1.1.2023 14:45;20,12;32207,24;14,00;22,00;21,05;12,00;3,12;27,61;24,35
1.1.2023 15:00;20,12;32206,88;22,00;24,62;21,66;0,00;0,00;28,84;27,25
1.1.2023 15:15;20,12;32061,48;10,00;26,90;22,46;11,20;3,13;24,03;20,83
1.1.2023 15:30;20,12;32220,08;29,00;28,91;23,12;0,00;0,00;30,01;27,95
1.1.2023 15:45;20,12;32450,58;1,00;28,37;20,65;119,50;4,34;78,29;54,17
1.1.2023 16:00;20,12;31950,20;15,00;34,92;27,40;0,70;2,90;21,23;21,01
1.1.2023 16:15;20,12;32463,36;1,00;21,52;20,56;0,70;2,90;21,23;21,01
1.1.2023 16:30;20,12;32049,54;11,00;29,73;25,43;0,00;0,00;22,35;21,75
1.1.2023 16:45;20,12;32172,14;15,00;25,85;21,69;21,40;3,13;30,66;24,82
1.1.2023 17:00;20,12;32271,88;9,00;22,01;20,44;21,20;3,14;30,45;24,60
1.1.2023 17:15;20,12;32087,19;8,00;25,36;22,32;0,00;0,00;21,65;21,13
1.1.2023 17:30;19,50;32313,01;19,00;25,95;21,68;30,50;3,15;38,05;29,80
1.1.2023 17:45;19,50;32345,16;1,00;21,63;20,38;30,50;3,15;38,05;29,80
1.1.2023 18:00;19,50;32161,39;25,00;30,77;23,55;2,60;3,11;22,19;21,49
1.1.2023 18:15;19,50;32270,17;0,00;23,16;20,98;24,40;3,14;34,22;27,61
1.1.2023 18:30;19,50;32128,77;22,00;28,83;22,92;26,40;3,15;36,45;29,17
1.1.2023 18:45;19,50;32151,87;5,00;25,84;22,26;0,50;1,12;20,97;20,52
1.1.2023 19:00;19,50;32264,44;28,00;30,24;22,88;47,80;3,17;47,61;34,61
1.1.2023 19:15;19,50;32462,23;1,00;22,16;20,33;43,60;3,16;41,03;29,42
1.1.2023 19:30;19,50;32236,21;0,00;33,53;25,40;0,00;0,00;30,44;28,08
1.1.2023 19:45;19,50;31869,71;90,00;51,01;28,83;108,80;3,49;80,33;52,79
1.1.2023 20:00;19,50;32530,23;1,00;24,59;21,30;0,70;3,13;21,07;20,92
1.1.2023 20:15;19,50;32387,94;19,00;24,14;20,65;36,50;3,15;39,22;29,36
1.1.2023 20:30;19,50;32594,74;0,00;26,50;20,22;0,00;0,00;27,16;25,48
1.1.2023 20:45;19,50;31822,92;55,00;55,14;33,59;82,70;3,22;69,77;48,28
1.1.2023 21:00;19,50;32431,84;1,00;24,03;20,34;0,00;0,00;24,64;23,18
1.1.2023 21:15;19,50;32144,47;69,00;45,32;26,54;76,90;3,22;67,20;46,91
1.1.2023 21:30;19,50;32251,86;1,00;24,52;22,08;2,50;3,13;22,74;21,97
1.1.2023 21:45;19,50;32334,90;6,00;22,55;20,80;2,50;3,13;22,74;21,97
